step,reward,actual_inspection_rate,target_sampling_rate,attack_intensity,fpr,fnr,avg_sq,tp,tn,fp,fn
325,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
326,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
327,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
328,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
329,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
330,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
331,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
332,-2.0,1.0,1.0,0.014,0.0,0.0,120.694,14,986,0,0
333,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
334,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
335,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
336,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
337,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
338,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
339,-2.0,1.0,1.0,0.009,0.0,0.0,107.589,9,991,0,0
340,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
341,-2.0,1.0,1.0,0.012,0.0,0.0,115.452,12,988,0,0
342,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
343,-2.0,1.0,1.0,0.006,0.0,0.0,99.726,6,994,0,0
344,-2.0,1.0,1.0,0.016,0.0,0.0,125.936,16,984,0,0
345,-2.0,1.0,1.0,0.003,0.0,0.0,91.863,3,997,0,0
346,-2.0,1.0,1.0,0.007,0.0,0.0,102.347,7,993,0,0
347,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
348,-2.0,1.0,1.0,0.01,0.0,0.0,110.21,10,990,0,0
349,-2.0,1.0,1.0,0.011,0.0,0.0,112.831,11,989,0,0
350,-2.0,1.0,1.0,0.008,0.0,0.0,104.968,8,992,0,0
351,-2.0,1.0,1.0,0.014,0.0,0.0,120.694,14,986,0,0
