packet_id,is_malware,was_dropped,latency_ns
1243,1,1,44957
1244,1,1,2248
1245,1,1,1477
1246,1,1,1328
1247,1,1,1217
1248,1,1,1175
1249,1,1,1168
1250,1,1,1225
1251,1,1,1137
1252,1,1,1348
1253,1,1,1594
1254,1,1,1113
1255,1,1,1451
1256,1,1,1263
1257,1,1,1630
1258,1,1,1382
1259,1,1,1185
1260,1,1,1257
1261,1,1,1515
1262,1,1,1217
1263,1,1,1516
1264,1,1,1386
1265,1,1,1205
1266,1,1,1160
1267,1,1,1186
1268,1,1,1222
1269,1,1,1390
1270,1,1,1190
1271,1,1,1396
1272,1,1,17052
1273,1,1,1725
1274,1,1,1399
1275,1,1,1370
1276,1,1,1647
1277,1,1,1539
1278,1,1,1323
1279,1,1,1553
1280,1,1,1674
1281,1,1,1200
1282,1,1,1259
1283,1,1,1316
1284,1,1,1339
1285,1,1,1539
1286,1,1,1382
1287,1,1,1391
1288,1,1,1472
1289,1,1,1511
1290,1,1,1147
1291,1,1,1233
1292,1,1,1376
1293,1,1,86328
1294,1,1,75846
1295,1,1,14603
1296,1,1,2115
1297,1,1,1520
1298,1,1,1387
1299,1,1,1203
1300,1,1,1307
1301,1,1,1450
1302,1,1,1301
1303,1,1,1223
1304,1,1,1212
1305,1,1,1556
1306,1,1,1155
1307,1,1,1271
1308,1,1,1148
1309,1,1,1615
1310,1,1,1395
1311,1,1,1211
1312,1,1,1136
1313,1,1,1258
1314,1,1,1152
1315,1,1,1347
1316,1,1,1129
1317,1,1,1201
1318,1,1,1089
1319,1,1,1154
1320,1,1,1346
1321,1,1,1118
1322,1,1,1658
1323,1,1,100991
1324,1,1,8084
1325,1,1,2078
1326,1,1,96076
1327,1,1,61455
1328,1,1,20580
1329,1,1,2753
1330,1,1,2257
1331,1,1,2244
1332,1,1,1980
1333,1,1,2306
1334,1,1,2297
1335,1,1,2233
1336,1,1,11304
1337,1,1,2690
1338,1,1,2331
1339,1,1,2616
1340,1,1,2185
1341,1,1,1889
1342,1,1,1845
1343,1,1,2217
1344,1,1,2623
1345,1,1,2166
1346,1,1,2499
1347,1,1,2046
1348,1,1,2574
1349,1,1,2185
1350,1,1,2101
1351,1,1,1914
1352,1,1,2077
1353,1,1,2143
1354,1,1,2101
1355,1,1,2266
1356,1,1,2064
1357,1,1,2353
1358,1,1,2126
1359,1,1,2332
1360,1,1,1909
1361,1,1,2269
1362,1,1,2658
1363,1,1,2213
1364,1,1,2481
1365,1,1,45680
1366,1,1,2755
1367,1,1,2435
1368,1,1,2304
1369,1,1,1839
1370,1,1,2173
1371,1,1,2203
1372,1,1,2657
1373,1,1,2492
1374,1,1,2113
1375,1,1,2294
1376,1,1,2088
1377,1,1,2844
1378,1,1,2192
1379,1,1,2359
1380,1,1,2006
1381,1,1,2250
1382,1,1,2354
1383,1,1,2473
1384,1,1,2554
1385,1,1,2266
1386,1,1,2205
1387,1,1,2007
1388,1,1,2048
1389,1,1,2225
1390,1,1,2126
1391,1,1,1935
1392,1,1,2189
1393,1,1,2057
1394,1,1,2147
1395,1,1,2226
1396,1,1,2093
1397,1,1,2003
1398,1,1,1942
1399,1,1,1907
1400,1,1,2267
1401,1,1,2092
1402,1,1,2141
1403,1,1,2020
1404,1,1,2041
1405,1,1,1827
1406,1,1,2189
1407,1,1,2109
1408,1,1,1965
1409,1,1,2100
1410,1,1,2194
1411,1,1,2260
1412,1,1,2202
1413,1,1,2289
1414,1,1,2250
1415,1,1,2110
1416,1,1,2069
1417,1,1,2080
1418,1,1,2013
1419,1,1,2169
1420,1,1,2107
1421,1,1,2219
1422,1,1,2027
1423,1,1,2207
1424,1,1,2178
1425,1,1,2332
1426,1,1,2069
1427,1,1,2631
1428,1,1,2095
1429,1,1,1936
1430,1,1,2123
1431,1,1,2228
1432,1,1,2084
1433,1,1,2062
1434,1,1,2408
1435,1,1,2119
1436,1,1,2294
1437,1,1,2024
1438,1,1,2082
1439,1,1,2248
1440,1,1,2452
1441,1,1,2140
1442,1,1,2121
1443,1,1,2177
1444,1,1,2173
1445,1,1,2065
1446,1,1,2060
1447,1,1,2028
1448,1,1,2217
1449,1,1,1959
1450,1,1,2186
1451,1,1,1886
1452,1,1,2536
1453,1,1,2300
1454,1,1,1950
1455,1,1,91083
1456,1,1,74625
1457,1,1,5429
1458,1,1,1492
1459,1,1,1458
1460,1,1,1317
1461,1,1,1255
1462,1,1,1825
1463,1,1,1403
1464,1,1,1260
1465,1,1,1354
1466,1,1,1340
1467,1,1,1122
1468,1,1,1084
1469,1,1,1131
1470,1,1,1478
1471,1,1,1082
1472,1,1,15741
1473,1,1,41803
1474,1,1,3203
1475,1,1,1651
1476,1,1,66956
1477,1,1,2711
1478,1,1,1427
1479,1,1,1586
1480,1,1,1654
1481,1,1,1171
1482,1,1,1346
1483,1,1,1299
1484,1,1,1454
1485,1,1,1427
