packet_id,is_malware,latency_ns
1362,0,15139
1363,0,14584
1364,0,14721
1365,0,14867
1366,0,14992
1367,0,14614
1368,0,14758
1369,0,14601
1370,0,14992
1371,0,15505
1372,0,14647
1373,0,14867
1374,0,14761
1375,0,14333
1376,0,14538
1377,0,14826
1378,0,14698
1379,0,15012
1380,1,154131
1381,0,15487
1382,0,14956
1383,0,14401
1384,0,14458
1385,0,15009
1386,0,14853
1387,0,14744
1388,0,14990
1389,0,14634
1390,0,14497
1391,0,14583
1392,0,14771
1393,0,14449
1394,0,14997
1395,0,14487
1396,0,14474
1397,0,14859
1398,0,14685
1399,0,14373
1400,1,150097
1401,0,14951
1402,0,14881
1403,0,14933
1404,0,14758
1405,0,14934
1406,0,14552
1407,0,15417
1408,0,14908
1409,0,14709
1410,0,15199
1411,0,14960
1412,0,14754
1413,0,14642
1414,0,14877
1415,0,14670
1416,0,14976
1417,0,14799
1418,0,14409
1419,0,14551
1420,1,161983
1421,0,19062
1422,0,15248
1423,0,14772
1424,0,14871
1425,0,15144
1426,0,15005
1427,0,14645
1428,0,15010
1429,0,14707
1430,0,14896
1431,0,15880
1432,0,16556
1433,0,14680
1434,0,14865
1435,0,15084
1436,0,14767
1437,0,14711
1438,0,14899
1439,0,14748
1440,1,151325
1441,0,15122
1442,0,14932
1443,0,15024
1444,0,14669
1445,0,14750
1446,0,14735
1447,0,15066
1448,0,14810
1449,0,14563
1450,0,14819
1451,0,14540
1452,0,14729
1453,0,15011
1454,0,14659
1455,0,14917
1456,0,14551
1457,0,14615
1458,0,14734
1459,0,14702
1460,1,150543
1461,0,14707
1462,0,15039
1463,0,14891
1464,0,14826
1465,0,14484
1466,0,14838
1467,0,14876
1468,0,22635
1469,0,18091
1470,0,15896
1471,0,14765
1472,0,14775
1473,0,14692
1474,0,14924
1475,0,15118
1476,0,14536
1477,0,14850
1478,0,14458
1479,0,14584
1480,1,150653
1481,0,15113
1482,0,25087
1483,0,17740
1484,0,15859
1485,0,14936
1486,0,15197
1487,0,15049
1488,0,14956
1489,0,15250
1490,0,14992
1491,0,14708
1492,0,14855
1493,0,14977
1494,0,14678
1495,0,14910
1496,0,15054
1497,0,14574
1498,0,14742
1499,0,14938
1500,1,150714
1501,0,15134
1502,0,15532
1503,0,15066
1504,0,14636
1505,0,14654
1506,0,14380
1507,0,14825
1508,0,14585
1509,0,14467
1510,0,14817
1511,0,14682
1512,0,14674
1513,0,14573
1514,0,15194
1515,0,14669
1516,0,14839
1517,0,14463
1518,0,14744
1519,0,14885
1520,1,149908
1521,0,14732
1522,0,14374
1523,0,14795
1524,0,14356
1525,0,14807
1526,0,14787
1527,0,14780
1528,0,14954
1529,0,14803
1530,0,14864
1531,0,14605
1532,0,14694
1533,0,15095
1534,0,14838
1535,0,14518
1536,0,14846
1537,0,15090
1538,0,14807
1539,0,14833
1540,1,261364
1541,0,24190
1542,0,17287
1543,0,15748
1544,0,16533
1545,0,16241
1546,0,16424
1547,0,14703
1548,0,14748
1549,0,15824
1550,0,19688
1551,0,15927
1552,0,15702
1553,0,15577
1554,0,15641
1555,0,17162
1556,0,14973
1557,0,14893
1558,0,16310
1559,0,15978
1560,1,201136
1561,0,21930
1562,0,16798
1563,0,16206
1564,0,16387
1565,0,16325
1566,0,16218
1567,0,15945
1568,0,15900
1569,0,16263
1570,0,15730
1571,0,16347
